IDSURVEY CID z MU MUERR
65 2009ds 0.02037 34.77580 0.15760
4 03D1co 0.67773 43.39220 0.18240
4 04D2mc 0.34949 41.10330 0.12780
1 15129 0.19621 39.88490 0.13930
15 390471 0.37062 41.22020 0.12760
59 2013fw 0.01677 34.32990 0.22460
15 550218 0.38744 41.63330 0.18940
10 1343759 0.50800 42.23990 0.12930
15 000199 0.37153 41.51440 0.11910
10 1337649 0.24910 40.45860 0.12470
1 17464 0.24569 40.06790 0.16700
15 000190 0.10221 38.51600 0.12200
59 2013gy 0.01309 33.91630 0.21040
10 1262715 0.68940 43.03660 0.13350
50 1999dk 0.01364 33.89690 0.18320
15 2018gv 0.00641 32.05030 0.06738
150 2019np 0.00648 32.54190 0.08464
15 120086 0.39255 41.56890 0.15360
1 19953 0.12207 38.71540 0.12710
150 AT2016cyt 0.03084 35.47600 0.13670
15 310042 0.23861 40.54720 0.22750
4 06D3gx 0.76075 43.37600 0.18990
10 1295027 0.42540 41.82930 0.15860
5 2006gt 0.04488 36.62240 0.13120
4 03D1bp 0.34602 41.45030 0.12840
15 530251 0.41140 41.94120 0.15000
10 1294014 0.36270 41.33550 0.15720
15 370498 0.26095 40.72290 0.12750
150 PS15brr 0.05037 36.67320 0.14200
62 1997do 0.01067 33.23470 0.12753
50 1993O 0.05313 36.86280 0.15400
10 1337325 0.63870 42.91880 0.18340
10 1333438 0.39950 41.80360 0.17560
1 13044 0.12472 38.87830 0.12700
10 1308326 0.32620 41.15550 0.12910
63 2002bz 0.03859 36.16400 0.14910
15 350374 0.50098 42.32340 0.20390
50 1992bc 0.02027 34.59370 0.15440
1 15213 0.30642 41.11280 0.17650
1 17809 0.28758 40.61730 0.16220
15 330146 0.13526 39.10340 0.13490
150 ASASSN-15lu 0.03652 36.09940 0.13780
1 6108 0.25813 40.60690 0.15530
4 05D1er 0.85857 43.79450 0.16340
15 580270 0.29587 41.08820 0.13460
64 2006td 0.01364 34.28530 0.18430
1 15756 0.38515 41.95070 0.20570
1 14261 0.28445 40.63680 0.15040
5 2009aa 0.02838 35.36260 0.13690
10 1295921 0.52390 42.32010 0.21430
15 310161 0.25260 40.56100 0.12500
5 2005mc 0.02633 35.26290 0.14270
4 03D1ax 0.49579 42.22670 0.13370
1 15508 0.13372 38.95030 0.12630
4 04D4dw 1.02881 44.07850 0.17870
59 2010gp 0.02406 34.70320 0.18730
4 04D1sa 0.58382 42.79630 0.15110
1 13135 0.10361 38.45000 0.12730
62 2000B 0.01937 34.36620 0.16390
4 05D4be 0.53534 42.43810 0.13110
1 15456 0.38055 41.31850 0.17540
64 2007qe 0.02363 35.06500 0.14570
63 2003fa 0.04059 36.16560 0.13160
10 1290779 0.38950 41.63800 0.14280
64 2006an 0.06481 37.34350 0.12940
15 350027 0.30581 41.04660 0.12540
51 2012E 0.01938 34.56920 0.18010
50 1993ag 0.04995 36.67070 0.16660
51 2007bd 0.03117 35.63280 0.14900
65 2007aj 0.03117 35.69740 0.14070
50 1997bq_JB 0.01090 33.12060 0.20930
4 05D1ke 0.68872 42.95550 0.14140
4 05D2cb 0.42859 42.14920 0.13380
1 19775 0.13700 39.08280 0.13150
15 350180 0.28949 41.08040 0.15680
150 ASASSN-16hc 0.05142 36.70080 0.13810
1 15704 0.36962 41.61080 0.16790
4 06D3el 0.51968 42.40690 0.12900
5 2006bh 0.01047 33.35230 0.12265
10 1336453 0.18480 39.82290 0.13030
65 2007sw 0.02554 35.03520 0.14650
15 370098 0.22132 40.14100 0.12920
150 ASASSN-15fa 0.02720 35.63040 0.14400
150 AT2017wb 0.03106 35.67990 0.13890
15 360112 0.18086 39.70440 0.12900
10 1281668 0.30710 41.08900 0.13550
150 Gaia16bba 0.02990 35.54590 0.14030
15 190230 0.13880 39.15620 0.12680
150 ATLAS17bas 0.02371 34.71590 0.14600
65 2008bw 0.03301 35.86080 0.17250
1 20430 0.16293 39.57750 0.14330
1 18602 0.13713 39.11060 0.12980
1 15421 0.18459 39.90180 0.13290
15 050580 0.45068 41.80540 0.13150
5 2009le 0.01802 34.32490 0.15920
4 06D3cc 0.68372 43.36400 0.25330
1 18807 0.17639 39.81020 0.13270
4 06D3en 1.06085 44.09960 0.17740
4 05D2le 0.70192 43.20450 0.14670
65 2008cf 0.04705 36.53090 0.14740
61 1996C 0.02918 35.61190 0.14360
5 2006ob 0.05834 37.05760 0.12970
1 18486 0.24551 40.24300 0.13870
150 ASASSN-15jl 0.03506 35.99500 0.13370
1 5717 0.25051 40.66390 0.14580
1 21510 0.14843 39.07130 0.14050
1 15201 0.20748 40.37980 0.19230
150 SN2016coj 0.00584 31.99980 0.32190
4 05D4cw 0.37353 41.47010 0.12730
4 06D3em 0.69072 43.20690 0.15790
15 360145 0.19877 40.01050 0.13000
63 2002jy 0.02054 35.09090 0.15430
10 1324542 0.54150 42.66140 0.17380
15 160099 0.10165 38.39880 0.12490
1 16232 0.37436 41.62600 0.18620
150 PS15bzz 0.07931 37.66250 0.12510
15 350630 0.30538 41.00920 0.12350
15 470015 0.33749 41.26150 0.15500
59 iPTF13ebh 0.01057 33.85790 0.24080
4 04D2mj 0.51469 42.59570 0.13690
10 1305504 0.49560 42.30050 0.12290
56 2017cbv 0.00304 30.41690 0.16084
150 ASASSN-15tz 0.02389 35.01930 0.15300
150 AT2017yk 0.04679 36.82350 0.15190
10 1292560 0.22480 40.21040 0.12970
4 03D3bl 0.35591 41.47960 0.13160
59 2010gn 0.03142 36.03780 0.19570
4 05D1hm 0.58582 42.95630 0.14240
4 06D4bw 0.73014 43.13840 0.16740
59 2013Q 0.01646 34.19060 0.22530
5 2008fu 0.05140 36.78900 0.12810
63 2002ha 0.01266 33.81240 0.19260
10 1338233 0.59800 42.93390 0.27840
1 15443 0.18136 39.58290 0.12670
15 540163 0.32952 41.34970 0.12030
62 1999ej 0.01394 34.27540 0.18810
5 2008bf 0.02482 35.13970 0.14260
15 380318 0.33818 41.26820 0.15780
64 2006ot 0.05186 36.58380 0.18440
62 1999aa 0.01591 34.22830 0.16830
5 2009ad 0.02838 35.39530 0.13840
10 1253920 0.19560 39.77880 0.12870
4 03D1ew 0.86656 43.68920 0.18700
1 2789 0.28901 40.87980 0.17880
1 17168 0.18389 39.85250 0.14490
65 2008bz 0.06095 37.29790 0.14140
61 1995ak 0.02188 34.71960 0.15320
10 1302648 0.23190 40.15940 0.13920
1 5844 0.30938 41.07720 0.19330
4 05D4dy 0.80806 43.90090 0.17750
1 5957 0.27935 40.86080 0.14800
1 13506 0.24354 40.59530 0.16610
4 05D1cb 0.63077 42.82110 0.13730
62 1997bq 0.01090 33.12150 0.12650
59 2007cq 0.02508 34.99120 0.19020
59 2011by 0.00428 32.08350 0.14528
4 04D1ks 0.79662 43.21800 0.15330
15 500511 0.33498 41.12300 0.12090
5 2015F 0.00506 31.55940 0.12726
15 110430 0.42094 41.80680 0.16480
15 490521 0.34147 41.30290 0.15900
5 2007ol 0.05578 37.02320 0.13680
15 580300 0.24085 40.47850 0.12960
10 1292336 0.23360 40.19270 0.15940
150 PSNJ1602512 0.02041 34.76720 0.15030
15 310025 0.15680 39.52870 0.15360
15 050203 0.57619 42.66390 0.15740
150 ASASSN-15od 0.01694 34.44900 0.16490
59 2011B 0.00542 31.80610 0.36650
1 12856 0.17042 39.60720 0.13150
4 04D3kr 0.33762 41.26010 0.12370
50 1992au 0.06016 37.19840 0.23870
15 560054 0.47988 42.05550 0.17640
64 2005hj 0.05723 37.10760 0.13330
1 13655 0.25116 40.74200 0.17150
51 2017erp 0.00698 32.22560 0.12371
10 1299643 0.38000 41.54060 0.12960
4 05D2dt 0.57577 42.73640 0.14240
59 2011fs 0.01986 34.64090 0.22380
150 AT2017cfc 0.02546 35.12180 0.14090
1 7147 0.10908 38.52590 0.13010
5 2006hb 0.01530 34.07370 0.17420
51 2007fs 0.01680 34.44620 0.16130
4 05D1dn 0.56481 42.62460 0.14340
1 17208 0.13884 39.39850 0.13590
15 120586 0.22948 40.30990 0.15800
4 05D2ay 0.92218 43.91230 0.18340
150 SN2016ayg 0.04348 36.52050 0.13350
150 PS16cqa 0.04576 36.76230 0.15910
10 1334620 0.19610 39.93830 0.14730
1 18809 0.12854 38.89010 0.13180
1 2031 0.15195 39.16130 0.13150
15 000196 0.35059 41.33270 0.11850
64 2007R 0.03176 35.87370 0.13810
59 2007af 0.00633 32.10420 0.14666
15 110478 0.26460 40.61450 0.14850
4 04D2gc 0.52271 42.51170 0.14640
51 2016ffh 0.01858 34.72430 0.16260
4 05D3hs 0.66470 42.97720 0.14200
1 18030 0.15536 39.48360 0.14090
150 ASASSN-16ip 0.01696 34.27440 0.16260
1 18697 0.10661 38.39260 0.12630
1 14451 0.17797 39.59860 0.13180
1 18485 0.27832 40.75320 0.14940
15 490008 0.12086 38.73700 0.12360
1 14318 0.05640 36.86850 0.14400
150 SN2016hhv 0.06120 37.30530 0.14330
150 ATLAS16cxr 0.01542 34.48300 0.16920
1 17811 0.19882 39.96530 0.14960
150 ASASSN-16dn 0.01463 33.91470 0.17020
150 2016W 0.02029 34.49930 0.15420
62 1998bp 0.01050 33.40860 0.21780
65 2007kh 0.05038 36.61580 0.16520
1 1032 0.12921 38.91230 0.14570
1 18945 0.26869 40.84030 0.16200
15 150254 0.27516 40.66060 0.12200
4 05D2ct 0.73596 43.43720 0.18410
10 1289600 0.41960 41.99400 0.12940
64 2006al 0.06886 37.54570 0.13580
15 530112 0.31453 41.24710 0.13470
10 1346137 0.36350 41.46280 0.15490
15 450175 0.51941 42.36850 0.20610
15 050291 0.32548 41.33270 0.14510
15 310574 0.23662 40.36410 0.13240
150 PS15bif 0.07845 37.67470 0.12050
4 06D4bo 0.55033 42.51460 0.13590
1 15872 0.20562 39.91340 0.13900
1 18415 0.12958 38.94930 0.13480
15 350192 0.30142 40.94560 0.12450
4 06D4cq 0.40949 41.79750 0.12530
56 2011by 0.00428 32.07640 0.15517
15 510113 0.29097 40.65880 0.14940
4 05D3jk 0.73675 43.12150 0.13510
4 05D1ix 0.48888 42.20600 0.12880
59 2010ko 0.01133 33.98510 0.23040
65 2009do 0.04115 36.11990 0.13310
15 390627 0.16061 39.57250 0.13500
59 2012cg 0.00278 30.98270 0.17358
1 20581 0.20348 39.92070 0.14670
5 2008C 0.01740 34.31070 0.16210
62 1999dq 0.01276 33.52240 0.18920
10 1317164 0.15470 39.31800 0.17450
10 1330642 0.63390 42.73210 0.12820
5 2007on 0.00579 31.69500 0.33960
15 000006 0.23041 40.40220 0.14540
10 1299785 0.38130 41.55670 0.14490
62 1998V 0.01761 34.17750 0.16410
5 2004ey 0.01540 34.04430 0.17100
1 9457 0.25683 40.60530 0.18460
10 1297465 0.27780 41.00460 0.12730
150 PS15bsq 0.03386 35.91180 0.13580
59 2014bv 0.00645 32.53140 0.32670
5 2009Y 0.00994 32.75890 0.12518
15 330128 0.32104 41.08100 0.13790
15 020096 0.22578 40.06950 0.13610
1 15287 0.23639 40.50540 0.13750
1 16637 0.24150 40.36400 0.18800
1 3451 0.24846 40.32580 0.14720
10 1336008 0.43800 41.74560 0.13470
10 1302141 0.60880 42.51070 0.24870
4 05D2hc 0.35149 41.58660 0.12600
50 1991S 0.05617 37.02180 0.13050
62 1998dh 0.00816 32.66490 0.13088
15 370344 0.33147 41.19580 0.12580
150 PS16el 0.04962 36.55550 0.13430
4 05D3lr 0.60067 42.78330 0.15380
150 ASASSN-16hz 0.02476 35.00560 0.14370
1 18804 0.19741 39.78020 0.13070
15 520019 0.26323 40.73650 0.13920
10 1306073 0.32860 41.20970 0.13090
4 03D4cx 0.94690 43.76280 0.16230
1 19230 0.21967 40.00820 0.15600
10 1283373 0.20750 40.15240 0.13770
4 04D1sk 0.66213 43.15850 0.15840
50 1993H 0.02446 35.21580 0.14750
59 iPTF14bdn 0.01588 34.24420 0.19830
4 03D3cd 0.46135 41.91620 0.15370
4 04D3nc 0.81779 43.69000 0.16690
4 05D3gp 0.58067 42.70620 0.17130
64 2005lu 0.03176 36.02840 0.17010
1 19128 0.28555 40.96990 0.16710
1 21810 0.17374 39.60370 0.14790
